"61285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. LESTARI"
"62285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"63285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.JATI PUTRA"
"64285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARIZQA SARANA MANDIRI"
"65285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MAHAMERU"
"66285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.CITRA PRAKARSA UTAMA"
"67285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. CANDI SARI"
"68285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARIZQA SARANA MANDIRI"
"69285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.CITRA PRAKARSA UTAMA"
"70285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV ADONAI"
"73285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARIZQA SARANA MANDIRI"
"74285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. LESTARI"
"76285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARIZQA SARANA MANDIRI"
"77285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. GSAANEMER"
"78285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"79285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV. RIZKY MEDICAL"
"81285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. TRIAS CIPTA MANUNGGAL"
"82285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"BANGUN KARSA"
"83285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"MITRA NUSANTARA"
"85285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV. Harrisma Computer"
"86285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV. PERWITA DHITA INSANI"
"88285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"A"
"90285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"PT.Sapta Sari Tama"
"91285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"TRI PUTERA JAYA"
"92285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"93285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"CV. SOLUSI ARYA PRIMA"
"94285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"BANGUN JAYA"
"95285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV BINTANG ABADI"
"96285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HARMONI YASA"
"97285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SEKAR ALAM"
"98285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MAHAMERU"
"99285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SUNARYA"
"100285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HATI SAMUDRA"
"101285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. TERA"
"103285";"Pengadaan Barang";"Rumah Tahanan Negara Kelas IIB Bantul";"CV PERSADA UTAMA"
"104285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"PB Semoga Raya"
"105285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"PT.BERTHO CHRISANTA BERSAUDARA"
"106285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"PT.HARAPAN SINAR ABADI"
"107285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"TRI PUTERA JAYA"
"108285";"Pengadaan Barang";"Pemerintah Kabupaten Bantul";"cv.dhika"
"110285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. SARANA PERSADA JAYA RAYA"
"111285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"112285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HATI SAMUDRA"
"113285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"114285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULYO"
"115285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"116285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SEKAR WIJAYA"
